area_type,availability,location,size,society,bath,balcony,price,total_squaremeter
Built-up Area,02-May,Bahçelievler,2+1,Yakamoz Sitesi,1,0,5297298,60.38695
Super built-up Area,05-Jun,Ataşehir,2+1,Bosphorus View,1,0,17869490,209.03175000000002
Plot Area,14-Feb,Şişli,5+1,Bosphorus View,2,2,13476534,191.38018
Super built-up Area,18-Jul,Bahçelievler,5+1,Denizpark Konakları,1,1,10923023,148.6448
Built-up Area,16-Jul,Şişli,4+1,Mavi Apartman,1,0,19054764,222.9672
Super built-up Area,30-Mar,Kadıköy,3+1,Denizpark Konakları,2,1,4908227,56.67083
Built-up Area,14-Apr,Kadıköy,2+1,Kule Evleri,3,0,9965032,158.86413000000002
Built-up Area,16-Nov,Beşiktaş,2+1,Bosphorus View,1,1,15332296,157.00607
Built-up Area,12-Dec,Şişli,4+1,Denizpark Konakları,2,1,11303053,178.37376
Built-up Area,08-Apr,Ataşehir,5+1,Mavi Apartman,4,1,11224073,128.20614
Super built-up Area,31-Mar,Ataşehir,2+1,Denizpark Konakları,1,1,12580474,174.65764000000001
Super built-up Area,19-Nov,Bahçelievler,4+1,Kule Evleri,3,1,5133565,56.67083
Plot Area,15-Sep,Kadıköy,2+1,Park Bahçesi,3,1,9482495,98.47718
Plot Area,03-Aug,Bahçelievler,5+1,Yakamoz Sitesi,4,0,7339269,119.84487
Built-up Area,04-May,Fatih,4+1,Mavi Apartman,3,0,9848940,114.27069
Super built-up Area,26-Nov,Fatih,5+1,Yakamoz Sitesi,2,1,10291413,130.0642
Plot Area,12-Dec,Fatih,5+1,Panorama Evleri,1,2,13935164,185.806
Super built-up Area,08-Feb,Maltepe,3+1,Yakamoz Sitesi,2,0,11581009,163.50928
Built-up Area,22-Mar,Beşiktaş,2+1,Kule Evleri,2,1,16706565,222.9672
Super built-up Area,19-Jul,Ataşehir,5+1,Kule Evleri,3,1,13390770,165.36734
Plot Area,02-Apr,Beşiktaş,5+1,Yakamoz Sitesi,3,0,12212483,108.69651
Plot Area,01-Nov,Ataşehir,1+1,Bosphorus View,1,1,13052653,203.45757
Built-up Area,21-Mar,Ataşehir,2+1,Kule Evleri,1,2,7834545,114.27069
Plot Area,20-Feb,Beşiktaş,5+1,Panorama Evleri,3,1,11921463,117.98681
Super built-up Area,11-Jun,Bahçelievler,2+1,Denizpark Konakları,3,1,12257667,191.38018
Super built-up Area,20-Dec,Şişli,1+1,Bosphorus View,2,1,14393062,163.50928
Super built-up Area,05-May,Fatih,2+1,Mavi Apartman,3,2,9548889,89.18688
Super built-up Area,18-Oct,Maltepe,5+1,Yakamoz Sitesi,1,2,7546231,95.69009
Plot Area,30-Sep,Bahçelievler,4+1,Denizpark Konakları,1,2,9773534,151.43189
Built-up Area,25-Jul,Fatih,1+1,Kule Evleri,1,1,7715190,70.60628
Plot Area,30-Dec,Ataşehir,4+1,Yakamoz Sitesi,4,2,13360829,208.10272
Built-up Area,08-Nov,Ataşehir,2+1,Park Bahçesi,3,1,8062106,115.19972
Built-up Area,25-Feb,Maltepe,1+1,Kule Evleri,1,1,6719089,102.19330000000001
Built-up Area,16-Mar,Kadıköy,3+1,Panorama Evleri,2,1,14393242,189.52212
Built-up Area,25-Apr,Kadıköy,1+1,Park Bahçesi,2,1,5128764,55.7418
Plot Area,16-Jul,Kadıköy,4+1,Panorama Evleri,2,2,13566364,150.50286
Built-up Area,11-Dec,Ataşehir,3+1,Kule Evleri,2,0,11935673,192.30921
Plot Area,11-Jan,Beşiktaş,1+1,Panorama Evleri,1,2,13560403,158.86413000000002
Plot Area,25-Oct,Kadıköy,4+1,Denizpark Konakları,2,0,14557699,174.65764000000001
Plot Area,16-Oct,Fatih,5+1,Panorama Evleri,4,2,25609905,228.54138
Super built-up Area,22-Jun,Maltepe,3+1,Panorama Evleri,2,1,21256139,230.39944
Super built-up Area,27-Apr,Şişli,5+1,Mavi Apartman,2,0,11194106,167.2254
Super built-up Area,29-Sep,Ataşehir,1+1,Mavi Apartman,2,2,14002166,204.38660000000002
Built-up Area,28-Apr,Kadıköy,3+1,Mavi Apartman,3,2,6019374,94.76106
Plot Area,07-Jul,Maltepe,4+1,Denizpark Konakları,4,1,6745591,107.76748
Super built-up Area,27-May,Ataşehir,3+1,Bosphorus View,3,1,18482360,196.02533
Super built-up Area,15-Oct,Şişli,2+1,Yakamoz Sitesi,1,0,13899126,146.78674
Super built-up Area,27-Apr,Bahçelievler,5+1,Mavi Apartman,3,1,9706847,147.71577
Super built-up Area,21-Nov,Şişli,4+1,Yakamoz Sitesi,3,1,12022327,126.34808000000001
Super built-up Area,05-Nov,Ataşehir,2+1,Mavi Apartman,1,0,12798609,198.81242
Plot Area,27-Mar,Fatih,1+1,Kule Evleri,2,2,12024318,141.21256
Plot Area,01-Mar,Ataşehir,5+1,Denizpark Konakları,3,1,10072454,140.28353
Plot Area,26-Oct,Fatih,2+1,Park Bahçesi,3,0,13868309,177.44473
Super built-up Area,05-May,Maltepe,5+1,Kule Evleri,3,2,12007664,147.71577
Super built-up Area,26-Dec,Fatih,4+1,Panorama Evleri,3,1,6961896,132.85129
Plot Area,13-Aug,Kadıköy,2+1,Panorama Evleri,3,1,10981551,179.30279000000002
Super built-up Area,04-Mar,Fatih,4+1,Bosphorus View,3,2,19422871,176.5157
Super built-up Area,19-Aug,Beşiktaş,2+1,Kule Evleri,2,2,11243873,111.4836
Super built-up Area,04-Jul,Kadıköy,3+1,Bosphorus View,2,2,12854847,149.57383000000002
Super built-up Area,23-Nov,Maltepe,4+1,Mavi Apartman,2,1,14766951,173.72861
Built-up Area,13-Nov,Maltepe,2+1,Park Bahçesi,1,0,6379440,77.10949000000001
Built-up Area,03-Jan,Fatih,1+1,Park Bahçesi,1,2,4728794,80.82561
Plot Area,24-May,Maltepe,4+1,Yakamoz Sitesi,2,1,7238982,129.13517000000002
Super built-up Area,10-Oct,Fatih,3+1,Kule Evleri,1,0,12342944,151.43189
Super built-up Area,28-Sep,Fatih,4+1,Panorama Evleri,2,0,19396029,210.88981
Plot Area,29-Dec,Ataşehir,3+1,Bosphorus View,3,2,17592720,218.32205000000002
Built-up Area,16-Mar,Şişli,1+1,Yakamoz Sitesi,1,2,13680625,126.34808000000001
Plot Area,01-Oct,Beşiktaş,3+1,Denizpark Konakları,4,2,10685111,88.25785
Plot Area,30-Jul,Beşiktaş,2+1,Panorama Evleri,1,0,16186963,146.78674
Built-up Area,23-Dec,Fatih,2+1,Park Bahçesi,3,1,6635438,90.11591
Super built-up Area,11-Dec,Kadıköy,3+1,Yakamoz Sitesi,3,2,5284606,55.7418
Built-up Area,26-Mar,Maltepe,2+1,Kule Evleri,1,2,11314069,147.71577
Built-up Area,19-Aug,Kadıköy,1+1,Bosphorus View,2,1,14167692,184.87697
Built-up Area,25-May,Fatih,5+1,Yakamoz Sitesi,3,1,7955536,113.34166
Built-up Area,01-Jun,Maltepe,4+1,Park Bahçesi,2,2,11400233,129.13517000000002
Built-up Area,18-Jul,Fatih,4+1,Yakamoz Sitesi,2,0,20139823,225.75429
Built-up Area,30-Mar,Kadıköy,3+1,Kule Evleri,3,0,7886479,93.83203
Plot Area,11-Mar,Maltepe,2+1,Bosphorus View,3,1,9992342,165.36734
Built-up Area,17-Jul,Ataşehir,5+1,Yakamoz Sitesi,2,1,6582261,87.32882000000001
Super built-up Area,12-May,Maltepe,4+1,Bosphorus View,3,1,5443533,63.174040000000005
Built-up Area,07-Jan,Maltepe,5+1,Yakamoz Sitesi,2,0,6549708,91.97397000000001
Super built-up Area,11-Jan,Bahçelievler,5+1,Panorama Evleri,2,2,6325489,79.89658
Plot Area,21-Nov,Fatih,2+1,Bosphorus View,2,2,12788356,202.52854
Super built-up Area,08-Apr,Maltepe,5+1,Park Bahçesi,1,2,7192009,137.49644
Built-up Area,17-Jul,Beşiktaş,3+1,Denizpark Konakları,3,1,11419120,103.12233
Plot Area,22-Nov,Beşiktaş,4+1,Park Bahçesi,4,1,6934154,68.74822
Plot Area,17-Jun,Ataşehir,4+1,Park Bahçesi,1,0,4641713,121.70293000000001
Plot Area,24-Sep,Maltepe,4+1,Bosphorus View,4,0,11173715,167.2254
Built-up Area,19-May,Ataşehir,2+1,Kule Evleri,2,0,7372323,112.41263000000001
Super built-up Area,18-Sep,Kadıköy,2+1,Yakamoz Sitesi,1,2,7201204,87.32882000000001
Super built-up Area,16-Feb,Kadıköy,5+1,Denizpark Konakları,1,0,10283951,121.70293000000001
Built-up Area,16-Aug,Fatih,3+1,Bosphorus View,4,1,12802003,135.63838
Plot Area,09-Nov,Ataşehir,5+1,Park Bahçesi,2,1,11250359,155.14801
Plot Area,23-Jan,Kadıköy,5+1,Denizpark Konakları,2,0,9272101,105.90942
Plot Area,06-Jul,Bahçelievler,3+1,Mavi Apartman,2,1,6691499,93.83203
Built-up Area,09-Apr,Fatih,3+1,Denizpark Konakları,2,0,10673428,135.63838
Super built-up Area,10-Oct,Kadıköy,3+1,Yakamoz Sitesi,3,1,10840522,137.49644
Super built-up Area,24-Jul,Beşiktaş,3+1,Kule Evleri,4,2,15241454,153.28995
Super built-up Area,19-May,Ataşehir,4+1,Yakamoz Sitesi,2,2,4250785,59.45792
Built-up Area,03-Aug,Maltepe,5+1,Park Bahçesi,1,2,16537811,220.18011
Built-up Area,08-Dec,Kadıköy,5+1,Park Bahçesi,4,2,13499681,147.71577
Plot Area,29-Sep,Maltepe,3+1,Panorama Evleri,3,0,8668761,128.20614
Super built-up Area,07-Feb,Fatih,1+1,Bosphorus View,1,0,14027570,143.99965
Plot Area,09-Oct,Beşiktaş,2+1,Mavi Apartman,3,2,11218887,173.72861
Super built-up Area,21-Nov,Ataşehir,4+1,Kule Evleri,3,1,15291529,214.60593
Super built-up Area,24-May,Fatih,3+1,Panorama Evleri,1,0,17660165,201.59951
Plot Area,11-Oct,Şişli,4+1,Mavi Apartman,3,2,14517310,149.57383000000002
Built-up Area,22-Mar,Bahçelievler,5+1,Park Bahçesi,2,0,4304994,64.10307
Plot Area,07-Aug,Fatih,1+1,Panorama Evleri,2,0,15513602,179.30279000000002
Built-up Area,25-Jul,Maltepe,4+1,Park Bahçesi,3,2,7618819,90.11591
Built-up Area,15-Dec,Fatih,2+1,Denizpark Konakları,2,1,14336690,188.59309000000002
Super built-up Area,27-Sep,Beşiktaş,2+1,Yakamoz Sitesi,2,1,6294750,70.60628
Built-up Area,24-Nov,Kadıköy,2+1,Park Bahçesi,1,0,16236445,186.73503
Super built-up Area,12-Oct,Maltepe,5+1,Denizpark Konakları,1,1,18053735,231.32847
Plot Area,25-Jul,Maltepe,5+1,Bosphorus View,3,0,13983161,158.86413000000002
Plot Area,02-Aug,Ataşehir,4+1,Yakamoz Sitesi,3,2,9215926,117.05778000000001
Super built-up Area,21-Jan,Fatih,1+1,Yakamoz Sitesi,1,2,11127920,121.70293000000001
Super built-up Area,02-Jul,Fatih,1+1,Panorama Evleri,2,2,9842434,161.65122
Built-up Area,13-May,Fatih,4+1,Park Bahçesi,4,1,7196386,59.45792
Super built-up Area,23-Nov,Bahçelievler,1+1,Bosphorus View,2,0,10694547,212.74787
Plot Area,21-Aug,Beşiktaş,4+1,Park Bahçesi,1,0,7544026,73.39337
Super built-up Area,06-Feb,Ataşehir,4+1,Park Bahçesi,1,1,17015953,190.45115
Super built-up Area,21-Sep,Beşiktaş,3+1,Bosphorus View,4,1,11284227,91.97397000000001
Built-up Area,17-Jan,Şişli,1+1,Yakamoz Sitesi,1,1,8854269,129.13517000000002
Super built-up Area,06-Sep,Maltepe,4+1,Bosphorus View,3,0,9325757,167.2254
Built-up Area,06-Aug,Kadıköy,1+1,Park Bahçesi,1,0,17742970,209.96078
Plot Area,25-Sep,Beşiktaş,1+1,Yakamoz Sitesi,2,0,5908641,69.67725
Plot Area,15-May,Ataşehir,2+1,Bosphorus View,2,0,5590523,60.38695
Plot Area,18-May,Maltepe,4+1,Panorama Evleri,2,1,4395752,99.40621
Plot Area,26-Sep,Maltepe,4+1,Yakamoz Sitesi,2,0,12653886,187.66406
Super built-up Area,12-Jul,Beşiktaş,2+1,Bosphorus View,2,2,7441738,56.67083
Plot Area,12-Jan,Ataşehir,4+1,Kule Evleri,3,0,13890084,217.39302
Super built-up Area,17-Jun,Fatih,3+1,Kule Evleri,3,2,11394036,131.92226
Built-up Area,18-Apr,Maltepe,1+1,Kule Evleri,2,2,14305070,211.81884
Plot Area,30-Mar,Şişli,1+1,Kule Evleri,1,1,15473475,160.72219
Plot Area,27-Apr,Ataşehir,3+1,Yakamoz Sitesi,1,1,8861555,142.14159
Plot Area,14-Jul,Beşiktaş,1+1,Kule Evleri,1,1,15332259,159.79316
Plot Area,23-Oct,Maltepe,4+1,Denizpark Konakları,4,0,17766589,232.2575
Built-up Area,24-Oct,Şişli,2+1,Mavi Apartman,1,1,25357301,217.39302
Built-up Area,17-Jun,Maltepe,2+1,Mavi Apartman,3,2,7858249,95.69009
Super built-up Area,09-Jul,Şişli,1+1,Kule Evleri,2,1,12499570,161.65122
Plot Area,07-Sep,Beşiktaş,3+1,Mavi Apartman,1,0,9666887,121.70293000000001
Built-up Area,12-Oct,Kadıköy,3+1,Yakamoz Sitesi,4,2,11732040,155.14801
Plot Area,20-Jun,Bahçelievler,5+1,Denizpark Konakları,3,0,11303738,130.99323
Built-up Area,15-Jun,Maltepe,5+1,Yakamoz Sitesi,3,2,11795682,188.59309000000002
Built-up Area,26-Apr,Şişli,1+1,Park Bahçesi,2,1,16827531,189.52212
Super built-up Area,26-Nov,Kadıköy,1+1,Park Bahçesi,1,0,8033313,112.41263000000001
Plot Area,27-Oct,Fatih,4+1,Panorama Evleri,2,0,6028114,62.24501
Plot Area,04-Dec,Beşiktaş,2+1,Panorama Evleri,3,1,18791564,223.89623
Built-up Area,02-Oct,Maltepe,5+1,Kule Evleri,2,0,6720191,91.97397000000001
Super built-up Area,26-Feb,Şişli,4+1,Yakamoz Sitesi,3,1,13524928,183.94794000000002
Built-up Area,02-Sep,Kadıköy,1+1,Kule Evleri,1,1,14317140,183.94794000000002
Built-up Area,09-May,Şişli,2+1,Denizpark Konakları,2,2,11101283,124.49002
Super built-up Area,16-Dec,Şişli,4+1,Kule Evleri,1,2,20798589,196.95436
Built-up Area,03-Mar,Beşiktaş,5+1,Panorama Evleri,1,2,17637326,162.58025
Built-up Area,21-Jun,Maltepe,2+1,Park Bahçesi,3,0,5354411,57.59986
Built-up Area,22-Jul,Beşiktaş,5+1,Bosphorus View,1,2,12247647,171.87055
Plot Area,26-Nov,Ataşehir,3+1,Denizpark Konakları,2,2,8425538,97.54815
Super built-up Area,29-Jan,Maltepe,5+1,Bosphorus View,2,0,14657967,189.52212
Plot Area,10-Nov,Ataşehir,4+1,Mavi Apartman,1,0,9815855,127.27711000000001
Built-up Area,31-Oct,Ataşehir,4+1,Panorama Evleri,3,2,16291939,231.32847
Plot Area,03-Dec,Kadıköy,5+1,Kule Evleri,3,0,12408311,130.0642
Super built-up Area,15-May,Bahçelievler,3+1,Bosphorus View,4,0,17755602,221.10914
Plot Area,10-Jan,Beşiktaş,5+1,Denizpark Konakları,2,0,11218147,110.55457
Built-up Area,13-Mar,Şişli,2+1,Yakamoz Sitesi,1,2,12884864,201.59951
Plot Area,02-Aug,Fatih,5+1,Park Bahçesi,3,2,15871999,206.24466
Super built-up Area,16-Jul,Beşiktaş,5+1,Panorama Evleri,1,0,10368710,84.54173
Super built-up Area,08-Jun,Bahçelievler,1+1,Mavi Apartman,1,1,12340968,204.38660000000002
Super built-up Area,18-Jul,Kadıköy,2+1,Park Bahçesi,2,0,12133330,141.21256
Built-up Area,26-Jun,Kadıköy,1+1,Denizpark Konakları,1,0,6996274,97.54815
Super built-up Area,16-Feb,Beşiktaş,3+1,Panorama Evleri,3,1,13902918,147.71577
Built-up Area,28-Jun,Ataşehir,5+1,Bosphorus View,3,1,12593320,178.37376
Super built-up Area,14-Oct,Şişli,2+1,Bosphorus View,3,0,11652690,138.42547
Built-up Area,11-Jun,Şişli,1+1,Bosphorus View,1,1,6588305,68.74822
Plot Area,12-Jun,Şişli,1+1,Mavi Apartman,2,0,7604812,87.32882000000001
Super built-up Area,18-Jul,Maltepe,1+1,Bosphorus View,1,0,10961857,215.53496
Built-up Area,06-Dec,Kadıköy,3+1,Panorama Evleri,1,0,6072225,73.39337
Built-up Area,07-Mar,Şişli,4+1,Kule Evleri,1,1,13077761,197.88339
Plot Area,13-Dec,Ataşehir,3+1,Mavi Apartman,2,0,5443677,102.19330000000001
Built-up Area,02-Mar,Bahçelievler,5+1,Yakamoz Sitesi,3,0,4978407,61.31598
Plot Area,20-Nov,Beşiktaş,1+1,Denizpark Konakları,2,2,5262058,59.45792
Plot Area,27-Apr,Bahçelievler,5+1,Panorama Evleri,2,1,16113149,215.53496
Plot Area,30-Dec,Bahçelievler,2+1,Panorama Evleri,1,0,3916905,60.38695
Super built-up Area,01-Jun,Beşiktaş,3+1,Kule Evleri,2,2,22703545,204.38660000000002
Built-up Area,20-Oct,Bahçelievler,1+1,Denizpark Konakları,1,2,14366984,230.39944
Super built-up Area,17-Sep,Şişli,4+1,Panorama Evleri,1,0,12145481,139.3545
Built-up Area,06-Aug,Maltepe,2+1,Park Bahçesi,1,0,12648776,170.94152
Built-up Area,23-Feb,Maltepe,3+1,Panorama Evleri,1,2,12160563,183.01891
Super built-up Area,12-Dec,Şişli,2+1,Park Bahçesi,1,1,11738787,143.99965
Built-up Area,19-Jul,Şişli,2+1,Mavi Apartman,1,0,7202590,66.89016000000001
Super built-up Area,14-Oct,Bahçelievler,1+1,Park Bahçesi,2,0,6577952,88.25785
Plot Area,29-Jan,Ataşehir,3+1,Kule Evleri,1,1,18501530,218.32205000000002
Super built-up Area,11-May,Fatih,5+1,Panorama Evleri,3,1,17092910,206.24466
Built-up Area,13-Jan,Beşiktaş,5+1,Park Bahçesi,4,1,22777242,208.10272
Super built-up Area,13-Mar,Ataşehir,4+1,Bosphorus View,3,2,8572319,141.21256
Built-up Area,28-Aug,Maltepe,5+1,Kule Evleri,2,2,18389433,227.61235
Plot Area,05-Aug,Beşiktaş,3+1,Park Bahçesi,1,0,9458958,82.68367
Built-up Area,13-Sep,Beşiktaş,1+1,Kule Evleri,1,1,20450924,210.88981
Built-up Area,18-Jan,Bahçelievler,3+1,Bosphorus View,1,0,8909203,158.86413000000002
